ID_EMPRESA,EMPRESA,ANIO,MES,NOMBRE_PUNTO_ENTREGA,NOMBRE_RUTA,TIPO_REMITENTE,NIT_REMITENTE,NUMERO_FACTURA,VALOR_FACTURA_PESOS,CANTIDAD_KG,CARGO_TRANSPORTE_PESOS_KG,VALOR_TRANSPORTE_PESOS,ECO_PESOS_KG,RECAUDO_POR_ECO_PESOS
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,2,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,749892510610034473749892510,17675721,64023.91,96.44,6174466,179.64,11501255
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,425411032551721175425411032,32755498,137201.55,96.4,13226229,142.34,19529269
543.0,PROVIGAS S.A.S.  E.S.P.,2019,12,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,81026544,18110,4474,81026544,122.36,2
543.0,PROVIGAS S.A.S.  E.S.P.,2020,1,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,44631126,9977,4473,44631126,104.63,2
543.0,PROVIGAS S.A.S.  E.S.P.,2020,2,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,38685975,8648,4473,38685975,179.64,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,208201715876849839208201715,27659316,156514.92,96.53,15108385,80.19,12550931
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8050035836,809059396150797288809059396,29079672,99933.58,96.44,9637594,194.55,19442078
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,425411032551721175425411032,32829013,137509.48,96.4,13255914,142.34,19573099
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),DISTRIBUIDOR,9001677705,509293262680531315509293262,10143462,39941.18,97.15,3880286,156.81,6263176
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,558198058220307122558198058,13293680,45684.32,96.44,4405796,194.55,8887884
